,t,labor,capital,production,wages,returns,prices,demand,utility
0,0,1662.0,1590.0,812.8007135823639,0.244488113089119,0.2556361444202818,0.98,0.0,1227.0845778772493
1,1,1656.0,1589.0,811.0770616901948,0.23995638900029007,0.25014961628188204,0.9995999999999999,1314.4538165201077,1226.9169710206106
2,2,1653.0,1586.0,809.5767412666943,0.24474608470353848,0.25516244171200403,1.0195919999999998,1275.5312497427585,1226.3180931814231
3,3,1649.0,1580.0,807.0656726685877,0.2494702811074009,0.260443803659118,1.0399838399999999,1265.2915839872494,1226.0449650636551
4,4,1641.0,1575.0,803.8306724677778,0.2546750735283124,0.2654280087637213,1.0607835168,1239.0240324661816,1225.8597607276442
5,5,1635.0,1571.0,801.3402835250454,0.2599139532109538,0.2705851372446195,1.081999187136,1229.0167632666244,1225.6838593071996
6,6,1627.0,1563.0,797.3394822784082,0.2650854792000852,0.27602469420226367,1.1036391708787199,1219.510513281596,1225.1978980156673
7,7,1620.0,1554.0,793.3284313574045,0.2701892772903111,0.28175141763674216,1.1257119542962943,1210.0529026344484,1224.850048770122
8,8,1612.0,1549.0,790.0930324968068,0.27583104142345877,0.28713849768447414,1.1482261933822202,1200.5100581325323,1224.2588832467318
9,9,1604.0,1547.0,787.6211017995901,0.2818660437916483,0.292342627863639,1.1711907172498646,1175.281382023947,1224.0299566221686
10,10,1601.0,1542.0,785.6115452308474,0.28730709494589546,0.29839318426090267,1.1946145315948618,1165.3945733987027,1223.6551490330203
11,11,1593.0,1532.0,781.101145819157,0.29283376821340307,0.30458915579439355,1.218506822226759,1156.278031546544,1222.9303518291672
12,12,1586.0,1527.0,778.1102107028283,0.2988597710742445,0.3105049137275347,1.2428769586712942,1146.8079351971542,1222.40494129092
13,13,1577.0,1522.0,774.6279752242363,0.3052044020074143,0.31633371877970373,1.26773449784472,1137.6584157475825,1221.9152121422421
14,14,1571.0,1515.0,771.3729642656658,0.31118413436950343,0.32278933492398487,1.2930891878016144,1128.4524605693614,1221.5378661799089
15,15,1568.0,1508.0,768.8536921937749,0.31697638183913884,0.32969325573829655,1.3189509715576466,1104.8492316800182,1220.7691113403462
16,16,1562.0,1501.0,765.5981321816297,0.3231833656964512,0.3364250386714346,1.3453299909887995,1095.8225158274265,1219.8793591886956
17,17,1557.0,1494.0,762.5873720433614,0.3294049410165123,0.343405735740668,1.3722365908085754,1086.8475383290593,1219.3549001025144
18,18,1550.0,1487.0,759.0866221980203,0.33596080169593423,0.350307461966853,1.3996813226247469,1077.9700618775103,1218.3234936103372
19,19,1548.0,1483.0,757.5757387878784,0.3424397350875627,0.357564330505388,1.4276749490772418,1068.9289935956701,1218.3884170875797
20,20,1543.0,1474.0,754.0527169899993,0.348790605079005,0.3652362759113626,1.4562284480587866,1060.18945554109,1218.2253764213858
21,21,1536.0,1466.0,750.2959416123746,0.35560694013645644,0.3727080727076379,1.4853530170199623,1037.8673726442648,1217.3686639433565
22,22,1529.0,1459.0,746.7949852536505,0.3626791610533952,0.38020407621058716,1.5150600773603615,1029.346449213931,1217.1419577433385
23,23,1522.0,1453.0,743.5499310738991,0.37001900031967316,0.3877177547195943,1.5453612789075688,1021.0601276191014,1217.906526168695
24,24,1513.0,1444.0,739.0487128735155,0.377365701393729,0.39552836419147963,1.57626850448572,999.7260942924867,1216.6785667731733
25,25,1512.0,1439.0,737.5242368898802,0.3843730394016646,0.40400569168107464,1.6077938745754345,991.3801649969489,1217.07841751595
26,26,1506.0,1434.0,734.7795587793661,0.3921573796871683,0.4119840027613876,1.6399497520669433,983.5112759097109,1217.6081468578482
27,27,1502.0,1428.0,732.2663449865765,0.3996938073424839,0.42054615705832776,1.672748747108282,962.7064723899891,1218.2497023435756
28,28,1495.0,1419.0,728.2521884622112,0.4073509345851094,0.429311690362431,1.7062037220504476,955.2200222440504,1218.799192573989
29,29,1487.0,1414.0,725.0203445421378,0.4158791209842815,0.4374965753298916,1.7403277964914565,935.2314763028882,1219.2285677071839
30,30,1481.0,1409.0,722.2757437433435,0.42430264620012575,0.4461350848443538,1.7751343524212857,927.9134166719776,1219.190260006912
31,31,1475.0,1405.0,719.7872949698404,0.43305175069450796,0.45478136758929355,1.8106370394697113,908.3970050645569,1219.60449500497
32,32,1467.0,1399.0,716.2982968009906,0.44196839841315955,0.46360871124005504,1.8468497802591055,889.3479768334694,1218.729598537236
33,33,1460.0,1395.0,713.5649935359777,0.45124033218056536,0.47242757457267737,1.8837867758642877,882.3758874550397,1218.9472155385515
34,34,1457.0,1390.0,711.5528792718079,0.4599121440192817,0.48224597875129227,1.9214625113815733,863.9912068162871,1218.47834888728
35,35,1453.0,1386.0,709.5523236520335,0.4690790401175647,0.4919237694590518,1.9598917616092049,857.2213253780128,1218.6138317439627
36,36,1451.0,1381.0,707.7836887072208,0.47792574044994457,0.5023238023937628,1.9990895968413889,839.3964964085018,1218.0835342168714
37,37,1447.0,1390.0,709.1068325717923,0.4897454255779709,0.5100046483684134,2.0390713887782166,832.8576068333089,1218.5696770056882
38,38,1440.0,1382.0,705.3509764649085,0.49930950823971676,0.5204452266940521,2.079852816553781,826.5104515406003,1218.6144809391203
39,39,1437.0,1391.0,706.9064648169516,0.5114842394735887,0.5285827101121969,2.1214498728848565,809.4403570692944,1218.6872149924102
40,40,1430.0,1409.0,709.7305826861345,0.5263617900424846,0.5343935377297675,2.1638788703425536,803.3694450396848,1219.2498294624727
41,41,1449.0,1426.0,718.7269996319882,0.5365665738555243,0.5454089779324718,2.2071564477494046,787.0993008190289,1220.277822697962
42,42,1471.0,1443.0,728.4663684755803,0.5464194693511585,0.5572115057061099,2.2512995767043926,781.6741784461337,1221.6844511977122
43,43,1489.0,1461.0,737.466778912786,0.5574143676274151,0.5682879218361985,2.2963255682384807,776.3235391063274,1222.721022685793
44,44,1504.0,1474.0,744.4622220099553,0.5682325684562195,0.579990401649212,2.3422520796032504,770.9422165384203,1223.3440838954782
45,45,1513.0,1481.0,748.4572466079809,0.5792418933425791,0.5919531112318325,2.3890971211953156,765.6061246595843,1223.627337043449
46,46,1522.0,1495.0,754.2197955503422,0.59185560548197,0.6027425489995208,2.4368790636192217,760.4939054760827,1224.1194653106422
47,47,1540.0,1515.0,763.724426740431,0.6041565054117949,0.6143254439367553,2.388141482346837,755.6026188241722,1224.7152860795559
48,48,1555.0,1532.0,771.7285792297703,0.5925083043836817,0.6015970103489406,2.3403786526999006,771.437187431019,1226.1448103629941
49,49,1567.0,1545.0,777.980558883061,0.5808802483801984,0.589339639491057,2.3871862257538985,787.1408203674029,1226.570015401687
50,50,1581.0,1559.0,784.9807322476139,0.5925360437429701,0.601087688483693,2.3394425012388207,771.6966842001391,1226.9204278509249
51,51,1594.0,1573.0,791.7325937461461,0.5809041633889638,0.5888440196972503,2.3862313512635973,798.0623628821171,1227.1659068363786
